Registration;Manuf.;Model;Type;c/n;l/n;Reg/Opr;SELC;built;delivery;until;status
HB-IUG;McDonnell Douglas;MD-83;MD83;53149;1817;SWR;;1990;2002-03-30;2004;reregistered
HB-IUH;McDonnell Douglas;MD-82;MD82;53150;1831;SWR;;1991;2002-03-30;2005;reregistered
HB-IUM;McDonnell Douglas;MD-83;MD83;49847;1585;SWR;;1989;2002-03-30;2003;reregistered
HB-IUN;McDonnell Douglas;MD-83;MD83;49769;1559;SWR;;1988;2002-03-30;2003;reregistered
HB-IUO;McDonnell Douglas;MD-83;MD83;49857;1687;SWR;;1990;2002-03-30;2003;reregistered
HB-IUP;McDonnell Douglas;MD-83;MD83;49856;1675;SWR;;1989;2002-03-30;2004;reregistered
HB-IWA;McDonnell Douglas;MD-11 /F;MD11;48443;458;SWR;;1990;2002-03-31;2004;reregistered
HB-IWB;McDonnell Douglas;MD-11 /F;MD11;48444;459;SWR;AFJQ;1991;2002-03-31;2003;reregistered
HB-IWC;McDonnell Douglas;MD-11 /F;MD11;48445;460;SWR;AFKQ;1991;2002-03-31;2004;reregistered
HB-IWD;McDonnell Douglas;MD-11 /F;MD11;48446;463;SWR;AFLQ;1991;2002-03-31;2003;reregistered
HB-IWE;McDonnell Douglas;MD-11 /F;MD11;48447;464;SWR;;1991;2002-03-31;2005;reregistered
HB-IWG;McDonnell Douglas;MD-11 /F;MD11;48452;472;SWR;;1991;2002-03-31;2005;reregistered
HB-IWH;McDonnell Douglas;MD-11 /F;MD11;48453;473;SWR;;1991;2002-03-31;2002;reregistered
HB-IWI;McDonnell Douglas;MD-11 /F;MD11;48454;477;SWR;;1991;2002-03-31;2004;reregistered
HB-IWK;McDonnell Douglas;MD-11 /F;MD11;48455;487;SWR;;1991;2002-03-31;2004;reregistered
HB-IWL;McDonnell Douglas;MD-11 /F;MD11;48456;494;SWR;;1992;2002-03-31;2004;reregistered
HB-IWM;McDonnell Douglas;MD-11 /F;MD11;48457;498;SWR;;1992;2002-03-31;2003;reregistered
HB-IWN;McDonnell Douglas;MD-11 /F;MD11;48539;571;SWR;;1994;2002-03-31;2004;reregistered
HB-IWO;McDonnell Douglas;MD-11 /F;MD11;48540;611;SWR;;1997;2002-03-31;2004;reregistered
HB-IWP;McDonnell Douglas;MD-11/F;MD11;48634;614;SWR;;1997;2002-03-31;2003;reregistered
HB-IWQ;McDonnell Douglas;MD-11 /F;MD11;48541;621;SWR;MSDQ;1997;2002-03-31;2004;reregistered
HB-IWR;McDonnell Douglas;MD-11 /F;MD11;48484;484;SWR;;1991;2002-03-31;2004;reregistered
HB-IXF;British Aerospace;Avro RJ-85;RJ85;E2226;;SWR;;1992;2002-03-31;2005;to other opr
HB-IXG;British Aerospace;Avro RJ-85;RJ85;E2231;;SWR;;1993;2002-03-31;2005;to other opr
HB-IXH;British Aerospace;Avro RJ-85;RJ85;E2233;;SWR;;1993;2002-03-31;2005;to other opr
HB-IXK;British Aerospace;Avro RJ-85;RJ85;E2235;;SWR;;1993;2002-03-31;2005;to other opr
HB-IXN;British Aerospace;Avro RJ-100;RJ1H;E3286;;SWR;;1996;2002-03-31;2005;reregistered
HB-IXO;British Aerospace;Avro RJ-100;RJ1H;E3284;;SWR;;1996;2002-03-31;2005;reregistered
HB-IXP;British Aerospace;Avro RJ-100;RJ1H;E3283;;SWR;;1996;2002-03-31;2005;to other opr
HB-IXQ;British Aerospace;Avro RJ-100;RJ1H;E3282;;SWR;;1996;2002-03-31;2005;reregistered
HB-IXR;British Aerospace;Avro RJ-100;RJ1H;E3281;;SWR;;1996;2002-03-31;2005;reregistered
HB-IXS;British Aerospace;Avro RJ-100;RJ1H;E3280;;SWR;;1996;2002-03-31;2005;to other opr
HB-IXT;British Aerospace;Avro RJ-100;RJ1H;E3259;;SWR;;1995;2002-03-31;2005;to other opr
HB-IXU;British Aerospace;Avro RJ-100;RJ1H;E3276;;SWR;;1995;2002-03-31;2005;to other opr
HB-IXV;British Aerospace;Avro RJ-100;RJ1H;E3274;;SWR;;1995;2001;2005;to other opr
HB-IXW;British Aerospace;Avro RJ-100;RJ1H;E3272;;SWR;;1995;2002-03-31;2005;to other opr
HB-IXX;British Aerospace;Avro RJ-100;RJ1H;E3262;;SWR;;1995;2002-03-31;2005;to other opr
HB-IYA;Saab;2000;SB20;2000-056;;SWR;;1998;2002-03-31;2003;reregistered
HB-IYB;Saab;2000;SB20;2000-057;;SWR;;1998;2002-03-31;2006;reregistered
HB-IYC;Saab;2000;SB20;2000-058;;SWR;;1998;;2006;reregistered
HB-IYD;Saab;2000;SB20;2000-059;;SWR;;1998;;2006;reregistered
HB-IYE;Saab;2000;SB20;2000-060;;SWR;;1999;;2006;reregistered
HB-IYF;Saab;2000;SB20;2000-061;;SWR;;1999;2002-03-31;2006;reregistered
HB-IYG;Saab;2000;SB20;2000-062;;SWR;;1999;2002-03-31;2003;reregistered
HB-IYH;Saab;2000;SB20;2000-063;;SWR;;1999;2002-03-31;2003;reregistered
HB-IYQ;British Aerospace;Avro RJ-100;RJ1H;E3384;;SWR;;2001;2006-01-25;2017;reregistered
